day,traveler_counts,worker_counts
0,0,0
1,5718,0
2,174,0
3,1,5
4,0,81
5,0,185
6,0,97
7,0,41
8,0,10
9,0,3
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
